split,model,param,value,val_auc
Grouped,Logistic Regression,epoch,23,0.896084656084656
Grouped,Logistic Regression,epoch,24,0.9211607142857143
Grouped,Logistic Regression,epoch,25,0.9038672104644327
Grouped,Logistic Regression,epoch,26,0.9089440035273368
Grouped,Logistic Regression,epoch,27,0.9448938124632569
Grouped,Logistic Regression,epoch,28,0.9241927542621988
Grouped,Logistic Regression,epoch,29,0.8983557466196355
Grouped,Logistic Regression,epoch,30,0.8842853468547913
Grouped,Logistic Regression,epoch,31,0.8344558348030571
Grouped,Logistic Regression,epoch,32,0.9224853027630806
Grouped,Logistic Regression,epoch,33,0.9028112139917697
Grouped,Logistic Regression,epoch,34,0.8793852880658435
Grouped,Logistic Regression,epoch,35,0.9033524397413286
Grouped,Logistic Regression,epoch,36,0.9196013374485597
Grouped,Logistic Regression,epoch,37,0.9283061434450322
Grouped,Logistic Regression,epoch,38,0.935979570840682
Grouped,Logistic Regression,epoch,39,0.9162217078189301
Grouped,Logistic Regression,epoch,40,0.9112084803057026
Grouped,Random Forest,n_estimators,10,0.8906802983539096
Grouped,Random Forest,n_estimators,25,0.7560633450911229
Grouped,Random Forest,n_estimators,50,0.7260971487360376
Grouped,Random Forest,n_estimators,100,0.7352039241622574
Grouped,Random Forest,n_estimators,200,0.7471779467960024
Grouped,Random Forest,n_estimators,350,0.7422492283950617
Grouped,Random Forest,n_estimators,500,0.7464484126984128
Grouped,Random Forest,n_estimators,750,0.7518966784244561
Grouped,Random Forest,n_estimators,1000,0.7507758303938858
Grouped,Decision Tree,max_depth,1,0.6767471340388007
Grouped,Decision Tree,max_depth,2,0.7448688271604937
Grouped,Decision Tree,max_depth,3,0.5428235229276895
Grouped,Decision Tree,max_depth,5,0.585203373015873
Grouped,Decision Tree,max_depth,7,0.31252755731922394
Grouped,Decision Tree,max_depth,9,0.4067239858906526
Grouped,Decision Tree,max_depth,11,0.40677377278071725
Grouped,Decision Tree,max_depth,15,0.5297141387419165
Grouped,Decision Tree,max_depth,None,0.5306106701940035
Grouped,KNN,k,1,0.6073082010582009
Grouped,KNN,k,3,0.5997216710758377
Grouped,KNN,k,5,0.5780335097001764
Grouped,KNN,k,7,0.6058515211640212
Grouped,KNN,k,9,0.7212676366843033
Grouped,KNN,k,11,0.7299588477366256
Grouped,KNN,k,15,0.7064895649617873
Grouped,KNN,k,21,0.6337942754262199
Grouped,KNN,k,31,0.5740439447383892
Stratified per Trial,Logistic Regression,epoch,1,0.8029772927689595
Stratified per Trial,Logistic Regression,epoch,2,0.5377197236919459
Stratified per Trial,Logistic Regression,epoch,3,0.883452380952381
Stratified per Trial,Logistic Regression,epoch,4,0.9632433127572017
Stratified per Trial,Logistic Regression,epoch,5,0.8623214285714286
Stratified per Trial,Logistic Regression,epoch,6,0.9235339506172839
Stratified per Trial,Logistic Regression,epoch,7,0.7183193709582598
Stratified per Trial,Logistic Regression,epoch,8,0.8855041152263374
Stratified per Trial,Logistic Regression,epoch,9,0.8099628894767783
