,accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc
Logistic Regression,0.6392729442270345,0.6545095255108289,0.639317264661971,0.6218925877086844,0.2927546749460447,0.711448687543491
Decision Tree,0.6943580180904204,0.7035580099233334,0.6974812112475138,0.6924441747744469,0.4009716741888179,0.6397178765729388
KNN,0.6643712256852403,0.6796749506460346,0.672392708428848,0.661555808179098,0.3518135822007881,0.6747944188658755
Random Forest,0.6546564675916781,0.6538197398175247,0.653321191422903,0.6529900808685565,0.3071387008420258,0.7366276820338027
