,accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc
Logistic Regression,0.659383613694535,0.7307213669520386,0.6523233110848571,0.6075704815968734,0.3496885483215955,0.7049933368368381
Decision Tree,0.5576173684542378,0.5650127497559684,0.5601839006003764,0.5152954678756224,0.12431754513380598,0.5097520618257919
KNN,0.6781965207364689,0.69821517678375,0.6878277441313969,0.6726942872072638,0.38538692601745456,0.7258651019954058
Random Forest,0.5681300240155022,0.5654401570282334,0.5770226535087634,0.5545330211552503,0.14357490874834467,0.611702239637578
