split,model,roc_auc
Grouped,Logistic Regression,0.7305
Grouped,Decision Tree,0.6211
Grouped,KNN,0.6138
Grouped,Random Forest,0.5966
Random Split,Logistic Regression,0.7819
Random Split,Decision Tree,0.7446
Random Split,KNN,0.6994
Random Split,Random Forest,0.7287
