split,model,param,value,val_auc
Random Split,Logistic Regression,epoch,36,0.8996911564625849
Random Split,Logistic Regression,epoch,37,0.8920104308390023
Random Split,Logistic Regression,epoch,38,0.8812394557823129
Random Split,Logistic Regression,epoch,39,0.7272648526077097
Random Split,Logistic Regression,epoch,40,0.9019687074829933
Random Split,Random Forest,n_estimators,10,0.6975061224489796
Random Split,Random Forest,n_estimators,25,0.7455732426303855
Random Split,Random Forest,n_estimators,50,0.7401560090702948
Random Split,Random Forest,n_estimators,100,0.7350303854875284
Random Split,Random Forest,n_estimators,200,0.7310916099773243
Random Split,Random Forest,n_estimators,350,0.7340004535147393
Random Split,Random Forest,n_estimators,500,0.7337891156462585
Random Split,Random Forest,n_estimators,750,0.7317428571428571
Random Split,Random Forest,n_estimators,1000,0.731701133786848
Random Split,Decision Tree,max_depth,1,0.5
Random Split,Decision Tree,max_depth,2,0.7676190476190476
Random Split,Decision Tree,max_depth,3,0.769045351473923
Random Split,Decision Tree,max_depth,5,0.7100539682539683
Random Split,Decision Tree,max_depth,7,0.6807891156462584
Random Split,Decision Tree,max_depth,9,0.7585814058956917
Random Split,Decision Tree,max_depth,11,0.7165863945578231
Random Split,Decision Tree,max_depth,15,0.6589374149659863
Random Split,Decision Tree,max_depth,None,0.6652380952380953
Random Split,KNN,k,1,0.6266666666666667
Random Split,KNN,k,3,0.6665097505668935
Random Split,KNN,k,5,0.6758902494331066
Random Split,KNN,k,7,0.6783532879818595
Random Split,KNN,k,9,0.6805374149659863
Random Split,KNN,k,11,0.6817029478458051
Random Split,KNN,k,15,0.6867854875283448
Random Split,KNN,k,21,0.7222979591836735
Random Split,KNN,k,31,0.7092716553287982
