,accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc
Logistic Regression,0.7375506656857488,0.7331219485964301,0.7337720815018386,0.7334205015231311,0.46689352252445504,0.80728985291453
Decision Tree,0.9642059141788608,0.9638858806685608,0.963263067019184,0.9635659148884196,0.9271486564293158,0.9814530858958748
KNN,0.9756141845501926,0.9759883531029492,0.9744044392816952,0.9751544753300876,0.9503912743119786,0.9891950849131196
Random Forest,0.975040813739978,0.9752464558057686,0.9739609696611856,0.9745781171222936,0.9492065289622964,0.9947090348468132
