,mq2,mq135,mq4
Ayam Goreng,-0.005988090547634728,0.011278754948161673,-0.006962604555529228
Ikan Goreng,0.0898102263651025,-0.008817616915298787,0.029194243696095502
Nasi Putih,0.08936118172002686,0.04256833331264578,0.09177566492118543
Telur Rebus,-0.21602791724724715,-0.19166495736431408,-0.09050321058276814
