,accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc
Logistic Regression,0.7379086611004928,0.7335500189760908,0.734386621523764,0.733899310225021,0.4679354208372447,0.8084469100838161
Decision Tree,0.9646916809174128,0.9644776407755192,0.9636608430829036,0.9640530038389812,0.9281379126350404,0.982808007795484
KNN,0.9764661502866916,0.9769688862384132,0.9751647970257462,0.9760168407623236,0.952131869679884,0.9916156395602288
Random Forest,0.975797203500654,0.9760383728570744,0.974712589491034,0.9753470285857356,0.9507499551480304,0.9949086928359576
