,accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc
Logistic Regression,0.6706705531742189,0.6776027946434201,0.643701165271446,0.6401594559598157,0.3195061174620741,0.6816834476618595
Decision Tree,0.9205953037377904,0.9190390157413185,0.9195293357523351,0.9192781465421183,0.8385681767319227,0.9603036976314133
KNN,0.933934948984123,0.9332677933507245,0.9322122045266202,0.9327192767249594,0.8654793071492667,0.9752755682520333
Random Forest,0.9331502747395536,0.9320272301936455,0.9319729180892095,0.9319976447562818,0.8640000729252447,0.9804021473437153
