,accuracy,precision_macro,recall_spoiled,f1_macro,mcc,roc_auc,inference_s
Logistic Regression,0.740805275573665,0.7332123825240344,0.8201168425343055,0.7263170512860522,0.45603695313343384,0.7436205279717818,0.0040106829997967
Decision Tree,0.7458985631567661,0.7370768951224405,0.7814410579231013,0.7374676454163822,0.47496876599804894,0.7887943121921537,0.0035701269999844952
KNN,0.7148831224533562,0.7049228167670255,0.7588424437299035,0.704951916347038,0.4099040423527434,0.7171113343646109,0.004392550000047777
Random Forest,0.7290371005790264,0.7199743200562441,0.760789819301662,0.7208144180881507,0.4418549505409617,0.7779346668792255,0.024386612999951467
