,accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc
"Logistic Regression (SGD, 5 epoch)",0.7111055225832411,0.7113110473253567,0.7113285755199665,0.7073614204674209,0.42259261884376026,0.7838567580624894
Decision Tree,0.9646916809174128,0.9644776407755193,0.9636608430829036,0.9640530038389811,0.9281379126350403,0.982808007795484
KNN,0.9764661502866915,0.9769688862384133,0.9751647970257462,0.9760168407623236,0.952131869679884,0.9916156395602288
Random Forest,0.975797203500654,0.9760383728570744,0.974712589491034,0.9753470285857357,0.9507499551480303,0.9949086928359577
