,accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc
"Logistic Regression (SGD, 5 epoch)",0.7196842054119147,0.716445387203574,0.7131020126452211,0.7128259298237993,0.4294889058647275,0.7783360363741885
Decision Tree,0.9642059141788607,0.9638858806685607,0.9632630670191841,0.9635659148884196,0.9271486564293158,0.9814530858958747
KNN,0.9756141845501926,0.9759883531029493,0.9744044392816953,0.9751544753300877,0.9503912743119786,0.9891950849131196
Random Forest,0.9750408137399781,0.9752464558057686,0.9739609696611856,0.9745781171222937,0.9492065289622963,0.9947090348468132
