,mq2,mq135,mq4
Ayam Goreng,0.005962306498130221,0.02187666776541103,0.0017231927260975334
Ikan Goreng,0.01988678431100126,0.002042417678509112,0.06016263522128522
Nasi Putih,0.012170726250799712,0.004836250804371079,0.031467726680416384
Telur Rebus,0.08494752261737304,0.20451643497208688,0.32105145013671044
